id,source,note_tags,note_text
1,editorial,"euphoric,high_energy,electronic","Bright, fast, and club-ready."
2,editorial,"euphoric,medium_energy,electronic","Upbeat pop with a polished finish."
3,editorial,"aggressive,medium_energy,electronic","Punchy rap with a confident edge."
4,editorial,"melancholic,low_energy,electronic","Moody pop with a reflective tone."
5,editorial,"aggressive,high_energy,electronic","Hard-hitting track with strong intensity."
6,editorial,"nostalgic,low_energy,hybrid","Dreamy and hazy with a softer feel."
7,editorial,"serene,low_energy,electronic","Smooth, chill, and relaxed."
8,editorial,"euphoric,high_energy,electronic","Very upbeat with dancefloor appeal."
9,editorial,"serene,medium_energy,hybrid","Laid-back indie-pop with warm textures."
10,editorial,"aggressive,high_energy,band","Loud, punchy, and driven by guitars."
11,editorial,"euphoric,high_energy,electronic","Bright pop built for a big chorus."
12,editorial,"aggressive,high_energy,electronic","Forceful rap with a powerful beat."
13,editorial,"melancholic,medium_energy,hybrid","A wistful track with a hazy mood."
14,editorial,"melancholic,low_energy,hybrid","Soft ballad with a sad emotional arc."
15,editorial,"aggressive,high_energy,electronic","High-energy rap made for momentum."
16,editorial,"euphoric,high_energy,band","Funky and upbeat with strong rhythm."
17,editorial,"warm,medium_energy,electronic","Romantic pop with a smooth groove."
18,editorial,"melancholic,medium_energy,band","Alt-pop with a dark, moody feel."
19,editorial,"euphoric,high_energy,electronic","Pure feel-good energy."
20,editorial,"aggressive,high_energy,electronic","Big, driving pop-rock energy."
