id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_tag,instrumentation,dancefloor
1,Blinding Lights,The Weeknd,synthwave,energetic,0.84,171,0.51,0.82,0.09,92,2010,euphoric,electronic,high
2,Flowers,Miley Cyrus,pop,happy,0.67,118,0.78,0.74,0.16,85,2020,euphoric,electronic,medium
3,Gold Digger,Kanye West,hip hop,confident,0.79,93,0.63,0.85,0.04,85,2020,aggressive,electronic,medium
4,Anti-Hero,Taylor Swift,pop,moody,0.58,97,0.46,0.67,0.12,92,2020,melancholic,electronic,low
5,SICKO MODE,Travis Scott,hip hop,intense,0.91,155,0.42,0.69,0.08,85,2010,aggressive,electronic,medium
6,Eventually,Tame Impala,psychedelic pop,dreamy,0.55,120,0.58,0.62,0.33,80,2020,nostalgic,hybrid,low
7,Passionfruit,Drake,rap,chill,0.47,112,0.49,0.71,0.18,92,2010,serene,electronic,low
8,Levitating,Dua Lipa,pop,upbeat,0.86,103,0.87,0.83,0.06,92,2010,euphoric,electronic,medium
9,Sunflower,Post Malone,indie pop,relaxed,0.61,90,0.69,0.77,0.14,92,2020,serene,hybrid,medium
10,Good 4 U,Olivia Rodrigo,alt pop,angry,0.88,166,0.44,0.81,0.05,92,2010,aggressive,band,high
11,As It Was,Harry Styles,pop,bright,0.72,174,0.76,0.79,0.08,85,2020,euphoric,electronic,medium
12,HUMBLE.,Kendrick Lamar,hip hop,confident,0.83,150,0.55,0.84,0.03,92,2020,aggressive,electronic,high
13,The Less I Know The Better,Tame Impala,psychedelic pop,moody,0.63,102,0.47,0.71,0.24,80,2020,melancholic,hybrid,medium
14,Someone Like You,Adele,ballad,sad,0.32,67,0.38,0.44,0.52,92,2000,melancholic,hybrid,low
15,Industry Baby,Lil Nas X,rap,intense,0.89,150,0.64,0.86,0.04,85,2020,aggressive,electronic,high
16,Uptown Funk,Mark Ronson,funk,energetic,0.87,115,0.79,0.91,0.08,80,2000,euphoric,band,high
17,Shape of You,Ed Sheeran,pop,romantic,0.72,96,0.83,0.83,0.20,92,2020,warm,electronic,medium
18,Bad Guy,Billie Eilish,alt pop,moody,0.63,135,0.46,0.76,0.11,92,2020,melancholic,band,medium
19,Happy,Pharrell Williams,pop,happy,0.78,160,0.97,0.84,0.05,85,2000,euphoric,electronic,medium
20,Rolling in the Deep,Adele,pop,intense,0.82,105,0.62,0.69,0.13,92,2000,aggressive,electronic,medium
21,Can’t Stop the Feeling,Justin Timberlake,pop,upbeat,0.75,113,0.94,0.88,0.06,85,2020,euphoric,electronic,medium
22,Watermelon Sugar,Harry Styles,pop,bright,0.69,95,0.88,0.81,0.12,85,2020,euphoric,electronic,medium
23,Believer,Imagine Dragons,rock,angry,0.88,125,0.41,0.74,0.09,85,2020,aggressive,band,medium
24,Senorita,Shawn Mendes,pop,romantic,0.66,117,0.80,0.79,0.14,85,2020,warm,electronic,medium
25,Stay,The Kid LAROI,pop,heartbroken,0.77,170,0.49,0.82,0.04,85,2020,melancholic,electronic,medium
26,Die For You,The Weeknd,rnb,moody,0.58,116,0.42,0.71,0.16,92,2010,melancholic,electronic,low
27,Levitating Remix,Dua Lipa,pop,upbeat,0.88,103,0.86,0.84,0.05,84,2010,euphoric,electronic,medium
28,Savage Love,Jason Derulo,pop,playful,0.74,150,0.89,0.86,0.07,85,2020,euphoric,electronic,medium
29,Dynamite,BTS,pop,happy,0.77,114,0.95,0.88,0.05,92,2020,euphoric,electronic,medium
30,Havana,Camila Cabello,pop,flirty,0.71,105,0.84,0.78,0.12,85,2020,warm,electronic,medium
31,Peaches,Justin Bieber,rnb,chill,0.53,90,0.66,0.74,0.22,85,2020,serene,electronic,low
32,As It Was Acoustic,Harry Styles,acoustic,calm,0.44,88,0.72,0.58,0.68,45,2020,serene,acoustic,low
33,Sunflower Spider Man,Post Malone,hip hop,relaxed,0.60,90,0.70,0.77,0.14,92,2020,serene,electronic,medium
34,Blinding Lights Remix,The Weeknd,synthwave,energetic,0.86,171,0.50,0.83,0.07,84,2010,euphoric,electronic,high
35,Doja,Central Cee,rap,confident,0.80,140,0.58,0.83,0.03,85,2020,aggressive,electronic,high
